ponto,veic,situacao,tipo
405,"CHEV/ONIX 1.4","Regular","1"
406,"CHEV/SPIN","Regular","1"
407,"FIAT/ SIENA","Regular","1"
408,"CHEV/ONIX","Regular","1"
409,"CHEV/ ONIX","Regular","1"
410,"CHEV/PRISMA","Regular","1"
411,"FIAT/SIENA","Regular","1"
412,"FIAT/ SIENA","Regular","1"
413,"VOYAGE","Regular","1"
414,"VOLKSWAGEN","Regular","1"
415,"CITROEN/C3 FEEL","Regular","1"
416,"CHEV / CHASSIC","Regular","1"
417,"CHEV CLASSIC","Regular","1"
418,"CHEV/ONIX","Regular","1"
419,"TOYOTA","Irregular","1"
420,"CORSA/SEDA","Regular","1"
421,"FIAT CRONOS","Regular","1"
422,"VW/VOYAGE","Regular","1"
423,"CHEV/SPIN","Regular","1"
424,"TOYOTA/CCROSS","Regular","1"
425,"TOYOTA/COROLLA","Regular","1"
426,"VW/NIVUS CL TSI","Regular","1"
427,"CHEV/ONIX PLUS","Regular","1"
428,"CHEV/SPIN","Regular","1"
429,"FIAT LINEA","Irregular","1"
430,"CHEV/ONIX PLUS","Regular","1"
431,"","Regular","1"
432,"  CHEV/TRACKER","Regular","1"
433,"VW/GOL 1.0","Regular","1"
434,"VW/POLO","Regular","1"
435,"FIAT/UNO","Regular","1"
436,"FIAT/CRONOS","Irregular","1"
437,"TOYOTA/YARIS","Irregular","1"
438,"VW/NOVO VOYAGE","Regular","1"
439,"CHEV/COBALT","Regular","1"
440,"GM SPIN","Regular","1"
441,"TOYOTA COROLLA","Regular","1"
442,"GM/COBALT","Regular","1"
443,"NISSAN","Regular","1"
444,"HYUNDAI/HB20S","Irregular","1"
445,"VW/PARATI","Irregular","1"
446,"FIAT/CRONOS","Regular","1"
447,"CHEV / PRISMA","Regular","1"
448,"CHEV/ONIX PLUS","Regular","1"
449,"CHEV/COBALT","Regular","1"
450,"HYUNDAI/CRETA","Regular","1"
451,"CH/COBALT","Regular","1"
452,"VW/VOYAGE","Irregular","1"
453,"CHEV/PRISMA","Regular","1"
454,"FIAT/PALIO","Regular","1"
455,"CHEV/PRISMA","Regular","1"
456,"CHEV/SPIN","Irregular","1"
457,"CHEV/ONIX PLUS","Irregular","1"
458,"SIENA ESSENCE","Irregular","1"
459,"COMPASS LONGITU","Regular","1"
460,"SIENA 1.4","Regular","1"
461,"VW/VIRTUS AB","Regular","1"
462,"FIAT/SIENA","Irregular","1"
463,"VW/VIRTUS","Irregular","1"
464,"CHEV /TRACHER","Regular","1"
465,"CHEV/ONIX","Regular","1"
466,"FIAT CRONOS","Regular","1"
467,"CHEV/CLASSIC","Regular","1"
468,"VOYAGE EVIDENCE","Regular","1"
469,"HYUNDAI / HB20","Regular","1"
470,"CHEV / SPIN 18L","Regular","1"
471,"FIAT / PALIO","Irregular","1"
472,"VW/VIRTUS","Regular","1"
473,"CHEV / SPIN","Regular","1"
474,"FIAT/SIENA 1.6","Regular","1"
475,"GM/PRISMA 1.4","Regular","1"
476,"FIAT/CRONOS","Regular","1"
477,"GM/CLASSIC","Regular","1"
478,"VW/ VIRTUS MB","Regular","1"
479,"VW/VOYAGE","Regular","1"
480,"VW / VOYAGE","Irregular","1"
481,"FIAT/CRONOS","Regular","1"
482,"VW //VOYAGE","Regular","1"
483,"VW/VIRTUS","Regular","1"
484,"","Regular","1"
485,"FIAT/CRONOS","Regular","1"
486," CHEV/TRACKER","Regular","1"
487,"FIAT SIENA","Regular","1"
488,"VOYAGE","Regular","1"
489,"FIAT/SIENA","Irregular","1"
490,"TOYOTA/COROLLA","Regular","1"
491,"RENAULT/DUSTER","Regular","1"
492,"VW/VIRTUS AB","Regular","1"
493,"CHEV/PRISMA","Regular","1"
494,"CHEV/SPIN","Regular","1"
495,"TOYOTA COROLLA","Regular","1"
496,"CHEV/ONIX","Regular","1"
497,"CHEV/ONIX","Regular","1"
498,"FIAT/SIENA","Regular","1"
499,"CHEV/PRISMA","Irregular","1"
500,"NISSAN KICS","Regular","1"
501,"TOYOTA/ CCROSS","Regular","1"
502,"VW/VIRTUS","Regular","1"
503,"CORSA CLASSIC","Regular","1"
504,"CHEV/ONIX","Regular","1"
505,"CHEV/TRACKER","Regular","1"
506,"CHEV/PRISMA","Regular","1"
507,"VW/VIRTUS","Regular","1"
508,"TOYOTA/ YARIS","Regular","1"
509,"CHEV CLASSIC","Regular","1"
510,"TOYOTA/ COROLLA","Regular","1"
511,"CH/PRISMA","Regular","1"
512,"CHEV/ONIX","Regular","1"
513,"VW/VIRTUS","Regular","1"
514,"FIAT SIENA","Regular","1"
515,"FIAT/SIENA","Regular","1"
516,"CHEV / TACKER","Regular","1"
517,"CHEV/PRISMA","Regular","1"
518,"NISSAN/KICS","Regular","1"
519,"CHEV/SPIN","Regular","1"
520,"FIAT/SIENA","Regular","1"
521,"VW/VIRTUS MB","Regular","1"
522,"TOYOTA/COROLLA","Regular","1"
523,"CHEV / CLASSIC","Regular","1"
524,"VW / VOYAGE","Regular","1"
525,"CHEV/SPIN","Regular","1"
526,"CLASSIC LS","Regular","1"
527,"FIAT SIENA","Irregular","1"
528,"CHEV/CLASSIC","Irregular","1"
529,"FIAT/PULSE","Regular","1"
530,"VW/NIVUS","Irregular","1"
531,"NISSAN/ KCS K16","Regular","1"
532,"FIAT/SIENA","Irregular","1"
533,"TOYOTA/COROLLA","Regular","1"
534,"VW/VIRTUS","Regular","1"
535,"CHEV/ONIX","Regular","1"
536,"CHEV/ONIX","Regular","1"
537,"VW / T CROSS HL","Regular","1"
538,"FIAT/SIENA","Regular","1"
539,"CHEV/COBALT","Regular","1"
540,"CHEV/ONIX","Regular","1"
541,"VW/VOYAGE","Regular","1"
542,"FORD/KA","Regular","1"
